GPS BII-09  (PRN 15)    
1 20830U 90088A   05053.88610693  .00000015  00000-0  00000-0 0  2777
2 20830  55.1681 285.7420 0086707 136.1120 224.6824  2.00574691105728
GPS BIIA-11 (PRN 24)    
1 21552U 91047A   05054.10823714  .00000018  00000-0  00000-0 0  4574
2 21552  55.3525 284.3053 0092924 287.6861  71.3695  2.00734535 99919
GPS BIIA-12 (PRN 25)    
1 21890U 92009A   05054.14807902  .00000014  00000-0  10000-3 0  4427
2 21890  54.3138  96.3672 0120734 273.7236  84.9745  2.00568901 95288
GPS BIIA-14 (PRN 26)    
1 22014U 92039A   05054.40002114 -.00000042  00000-0  10000-3 0  7391
2 22014  56.4556  42.3024 0157574  37.1446 323.9450  2.00555039 86055
GPS BIIA-15 (PRN 27)    
1 22108U 92058A   05054.32134008  .00000016  00000-0  00000-0 0  1980
2 22108  54.5713  98.0601 0191079 241.5493 116.6002  2.00565643 91231
GPS BIIA-16 (PRN 01)    
1 22231U 92079A   05054.09409232 -.00000041  00000-0  00000-0 0  2764
2 22231  56.3160  43.1158 0062631 265.6109  93.6853  2.00569181 89803
GPS BIIA-17 (PRN 29)    
1 22275U 92089A   05054.37729014 -.00000046  00000-0  00000-0 0  1110
2 22275  56.2777  40.3903 0090437 291.1295  67.9142  2.00573020 89224
GPS BIIA-19 (PRN 31)    
1 22581U 93017A   05054.51788962  .00000031  00000-0  00000-0 0  9071
2 22581  53.6223 218.2354 0121279  61.3459 299.8314  2.00569641 87268
GPS BIIA-20 (PRN 07)    
1 22657U 93032A   05054.53572230  .00000031  00000-0  00000-0 0  2874
2 22657  53.6534 218.3020 0130859 256.7026 101.7952  2.00563380 82596
GPS BIIA-21 (PRN 09)    
1 22700U 93042A   05054.00851744  .00000015  00000-0  10000-3 0  7271
2 22700  54.6992  99.3299 0162550  64.1315 297.6234  2.00562052 85387
GPS BIIA-22 (PRN 05)    
1 22779U 93054A   05054.59218357 -.00000001  00000-0  00000-0 0  1143
2 22779  53.6456 156.9953 0059038  48.8151 311.6987  2.00570009 84154
GPS BIIA-23 (PRN 04)    
1 22877U 93068A   05054.64352424  .00000019  00000-0  10000-3 0  9215
2 22877  54.7642 282.6032 0070158 358.8818   1.1683  2.00577341 83044
GPS BIIA-24 (PRN 06)    
1 23027U 94016A   05054.72205353  .00000033  00000-0  10000-3 0  9771
2 23027  53.5541 219.8618 0064618 249.3959 109.8758  2.00570507 80350
GPS BIIA-25 (PRN 03)    
1 23833U 96019A   05054.36191317  .00000028  00000-0  00000-0 0  2363
2 23833  53.1214 216.7183 0065133  33.4063 326.9624  2.00557177 65324
GPS BIIA-26 (PRN 10)    
1 23953U 96041A   05054.78035040 -.00000081  00000-0  10000-3 0  5061
2 23953  56.0657 342.3276 0063601  15.6765 344.5325  2.00573097 63127
GPS BIIA-27 (PRN 30)    
1 24320U 96056A   05054.13640554 -.00000007  00000-0  00000-0 0  3597
2 24320  54.0341 159.4886 0078475  71.4860 289.3501  2.00553654 61777
GPS BIIR-02 (PRN 13)    
1 24876U 97035A   05054.22834059 -.00000042  00000-0  00000-0 0  1717
2 24876  56.5544  42.1894 0021531  46.3298 313.8649  2.00552190 55648
GPS BIIA-28 (PRN 08)    
1 25030U 97067A   05054.35740688  .00000020  00000-0  10000-3 0   698
2 25030  55.4403 103.4823 0090811 145.6903 214.9863  2.00552971 53542
GPS BIIR-03 (PRN 11)    
1 25933U 99055A   05054.00525517  .00000023  00000-0  00000-0 0  6935
2 25933  51.7393 274.5500 0039720   8.7345 351.3941  2.00562521 39453
GPS BIIR-04 (PRN 20)    
1 26360U 00025A   05054.10292749 -.00000084  00000-0  00000-0 0  7667
2 26360  55.1292 340.9804 0021459  79.0448 281.2155  2.00551998 35151
GPS BIIR-05 (PRN 28)    
1 26407U 00040A   05053.94832650 -.00000008  00000-0  00000-0 0  7114
2 26407  54.9710 162.1418 0098592 226.0706 133.1053  2.00567046 33828
GPS BIIR-06 (PRN 14)    
1 26605U 00071A   05054.04173080 -.00000044  00000-0  00000-0 0  6653
2 26605  56.2304  41.5834 0020290 259.0463 100.7352  2.00562132 31427
GPS BIIR-07 (PRN 18)    
1 26690U 01004A   05053.91529612 -.00000087  00000-0  00000-0 0  5796
2 26690  55.1410 343.9941 0055747 201.8380 157.9377  2.00558045 29834
GPS BIIR-08 (PRN 16)    
1 27663U 03005A   05054.26005811 -.00000004  00000-0  10000-3 0  9314
2 27663  55.0847 161.5472 0027525 289.5884  70.1089  2.00559903 15190
GPS BIIR-09 (PRN 21)    
1 27704U 03010A   05053.83124930  .00000016  00000-0  10000-3 0  8133
2 27704  54.3970 283.9561 0093917 179.9153 180.1555  2.00566445 13975
GPS BIIR-10 (PRN 22)    
1 28129U 03058A   05053.95370034 -.00000088  00000-0  00000-0 0  4871
2 28129  54.9950 344.5185 0051846 275.9622  83.4622  2.00562476  8682
GPS BIIR-11 (PRN 19)    
1 28190U 04009A   05053.90202991  .00000039  00000-0  10000-3 0  3932
2 28190  54.9705 224.5875 0033140 260.0723  99.5275  2.00566107  6859
GPS BIIR-12 (PRN 23)    
1 28361U 04023A   05054.19175773 -.00000047  00000-0  00000-0 0  2549
2 28361  55.2088  41.2593 0034616 130.9083 229.4078  2.00558728  4944
GPS BIIR-13 (PRN 02)    
1 28474U 04045A   05054.69229961  .00000020  00000-0  00000-0 0  1147
2 28474  54.7854 281.4517 0093226 101.8377 259.2725  2.00564827  2319
